"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"HSEA","HSBC Holdings plc","26.02","n/a","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/hsea",
"HSEB","HSBC Holdings plc","25.54","n/a","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/hseb",
"HUSI^F","HSBC USA, Inc.","21.68","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/husi^f",
"HUSI^G","HSBC USA, Inc.","22.76","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/husi^g",
"HUSI^H","HSBC USA, Inc.","25.3","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/husi^h",
"HNP","Huaneng Power International, Inc.","46.71","$16.84B","1994","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/hnp",
"HUB.A","Hubbell Inc","n/a","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/hub.a",
"HUB.B","Hubbell Inc","n/a","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/hub.b",
"HUBS","HubSpot, Inc.","47.58","$1.61B","2014","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/hubs",
"HBM","HudBay Minerals Inc","4.43","$1.04B","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/hbm",
"HBM.WS","HudBay Minerals Inc","n/a","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/hbm.ws",
"HPP","Hudson Pacific Properties, Inc.","29.88","$2.67B","2010","Finance","Real Estate","http://www.nasdaq.com/symbol/hpp",
"HPP^B","Hudson Pacific Properties, Inc.","25.35","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/hpp^b",
"HGT","Hugoton Royalty Trust","3.04","$121.6M","1999","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/hgt",
"HUM","Humana Inc.","183.36","$27.16B","n/a","Health Care","Medical Specialities","http://www.nasdaq.com/symbol/hum",
"HII","Huntington Ingalls Industries, Inc.","108.3","$5.18B","n/a","Capital Goods","Marine Transportation","http://www.nasdaq.com/symbol/hii",
"HUN","Huntsman Corporation","11.37","$2.79B","2005","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/hun",
"H","Hyatt Hotels Corporation","50.02","$7.16B","2009","Consumer Services","Hotels/Resorts","http://www.nasdaq.com/symbol/h",
"HY","Hyster-Yale Materials Handling, Inc.","59.41","$1.2B","n/a","Capital Goods","Construction/Ag Equipment/Trucks","http://www.nasdaq.com/symbol/hy",
"IAG","Iamgold Corporation","1.81","$708.43M","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/iag",
"IBN","ICICI Bank Limited","9.12","$26.47B","n/a","Finance","Commercial Banks","http://www.nasdaq.com/symbol/ibn",
"IDA","IDACORP, Inc.","65.15","$3.28B","n/a","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/ida",
"IEX","IDEX Corporation","74.76","$5.79B","1989","Capital Goods","Fluid Controls","http://www.nasdaq.com/symbol/iex",
"IDT","IDT Corporation","14.24","$339.31M","n/a","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/idt",
"IHS","IHS Inc.","116.85","$7.97B","2005","Technology","Computer Software: Programming, Data Processing","http://www.nasdaq.com/symbol/ihs",
